data,track,sleep,work,self,app,measure,metric,start,question,export,help,efn,amp,heart,rate,health,emfit,experiment,example,device,people,note,analysis,food,learn,dandruff,eat,oura
0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,7,1,0,10,1,1,2,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,4,0
4,2,0,14,1,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0
0,1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
1,1,0,7,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0
0,4,0,5,0,2,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,0,4,0,11,0,0,1,2,3,2,0,2,0,2,6,0,1,0,1,5,0,2,2,0,0,11,0
0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,2,4,0,2,1,0,0,0,0,5,0,0,0,0
1,0,0,0,0,2,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,3,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0
2,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,0,2,0,1,1,0,0,0,0,0,0,1,0
2,3,3,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,4,2,0,0,0,1,0,0,1,0,1,0,0,0,3,0,4,1,0,0,0,0,0,0,0,0,4,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,0,6,0,0,0,2,1,0,0,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0
1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,6,4,1,0,3,2,1,1,0,1,1,0,1,0,3,5,0,0,1,0,1,0,0,1,1,0,0,0
10,4,0,2,0,3,0,0,0,0,4,0,0,9,0,3,0,0,0,1,1,1,0,2,0,0,0,1,0
2,2,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,0,6,2,7,0,0,1,0,3,1,0,18,0,1,0,0,0,5,0,0,0,2,0,0,0,2,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,1,0,3,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
